SN,ID,Name,Network,Active,Location,latitude,longitude,Purple Air map name,Site description,Mac Address,Installation Date mm/dd/yyyy,Uninstalled ,Owner,Associated,,Notes
1,101537,Agia,Patras,Y,Agia ,38.26301,21.74841,Agyia_2024,Urban,10:52:1C:41:41:7,7/23/2024,-,giokosmopoulos@gmail.com,akaza@upatras.gr,,
2,1006,Platani,Patras,Y,Platani,38.297756,21.822891,Platani,Background,a0:20:a6:b:fc:e3,10/22/2017,-,,,,
3,1566,University of Patras,Patras,Y,University of Patras,38.289433,21.785513,University of Patras,Background,"a0:20:a6:b:fd:f4	",5/25/2017,-,,,,
4,56491,Rio,Patras,Y,Rio,38.304512,21.794697,Rio 2024,Suburban,50:2:91:DF:82:CF ,10/15/2024,-,giokosmopoulos@gmail.com,akaza@upatras.gr,,
5,1672,Kastelokampos,Patras,Y,Kastelokampos,38.289345,21.773867,Kastelokampos,Suburban,"5c:cf:7f:f9:31:e5	",11/17/2017,-,,,,
6,199161,PANSEN_PATRA_PSILALONIA,Patras,Y,Psila Alonia,38.23952,21.734823,Psila Alonia,City Center,a0:20:a6:a:a5:81,10/30/2024,-,,,,
7,14857,Demenika,Patras,Y,Demenika,38.200115,21.743774,Demenika,Suburban,84:f3:eb:45:6f:a7,12/1/2018,-,,,,
8,23759,Germanou,Patras,Y,Germanou,38.241177,21.741581,Germanou,City Center,??????????,3/7/2019,-,,,,colocated also with Germanou_Test and Germanou_Test04 and Grimm analyzer during 03/12/2020-04/2021
9,56113,Kato Sichena,Patras,Y,Kato Sichena,38.265163,21.756952,Kato Sichena,Suburban,50:2:91:DF:85:C2,3/30/2021,-,,,,
10,133608,Kritika,Patras,Y,Kritika,38.24307,21.744677,Kritika_2024,Urban,C4:5B:BE:44:FC:E6,19/12/2024,-,,,,
11,308300,Lefka_2026,Patras,Y,Lefka,38.20659,21.727135,Lefka,Suburban,2C:3A:E8:34:FE:7D,3/16/2026,-,,,,
12,101597,Vlatero,Patras,Y,Vlatero,38.247807,21.741768,Vlatero,City Center, 10:52:1C:41:29:52,10/21/2021,-,,,,
13,101609,Paralia,Patras,Y,Paralia,38.19944,21.699192,Paralia,Suburban,10:52:1C:42:35:82,11/17/2021,-,,,,
14,101611,Trion Navarchon,Patras,Y,Trion Navarchon,38.242233,21.731613, Trion Navarchon,City Center - Restaurant,10:52:1C:41:6F:35,8/3/2021,-,,,,
15,30673,New Port of Patras,Patras,Y,New Port of Patras,38.22473,21.71987,New Port of Patras_2024_V2,Urban,80:7D:3A:2B:68:7D,11/22/2024,-,,,,
16,116355,Ano Sichaina,Patras,Y,Ano Sichaina,38.2593383,21.7700424,Ano Sichaina,,10:52:1C:41:A9:30,8/19/2025,-,giokosmopoulos@gmail.com,amatrali3197@gmail.com ,,
17,116369,Ano Anthoupoli,Patras,Y,Ano Anthoupoli,38.2623291,21.7612012,Ano Anthoupoli,,10:52:1C:41:3A:3F,8/19/2025,-,giokosmopoulos@gmail.com,amatrali3197@gmail.com ,,
18,199705,Romanos,Patras,Y,Romanos,38.228361,21.787469,Romanos,,C8:C9:A3:F:56:8A,8/25/2025,-,giokosmopoulos@gmail.com,laqs.forth@gmail.com,,
19,202609,49 Dimotiko Patras,Schools Patras,Y,49 Dimotiko Patras,38.27691,21.760338,49 Dimotiko Patras 2024,Suburban,C8:C9:A3:F:5D:D,10/10/2024,-,spyros@chemeng.upatras.gr,laqs.forth@gmail.com,,
